time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
10.02,-1.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
10.35333,-1.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
10.68667,-1.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
11.02,-2.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
11.35333,-2.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
11.68667,-2.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
12.02,-3.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
12.35333,-3.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
12.68667,-3.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
13.02,-4.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
13.35333,-4.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
13.68667,-4.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
14.02,-5.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
